link,UUID
http://www.ufcstats.com/fighter-details/da22387a0407a2dc,a9d57936-0007-4ae7-b598-492df902977e
http://www.ufcstats.com/fighter-details/1897b7b913736a7c,81e46dc4-cf24-4ce3-863a-0a2bd259293a
http://www.ufcstats.com/fighter-details/2e45d08b3f2f02c8,444436a2-c96f-4350-9377-2e9584c6e060
http://www.ufcstats.com/fighter-details/3c8a5200436e19f3,a30346c9-de73-4078-8c2e-861afd0b3048
http://www.ufcstats.com/fighter-details/bc7d1ad49fcb2d08,ba52a09e-cbaf-4caf-98d9-a6f0b9c039a6
http://www.ufcstats.com/fighter-details/9673a497a9da119a,173f317d-899a-4f92-b0aa-58c4266e3ee4
http://www.ufcstats.com/fighter-details/0e46690e55a8df75,fd178663-050a-4ae8-8c2f-79ce799f2b0f
http://www.ufcstats.com/fighter-details/15ea371202eb25e1,5cde6208-42b1-40d0-8bbc-ec020e1fb50a
http://www.ufcstats.com/fighter-details/f9ab66e67240db7b,a2168df0-65ee-415f-8736-c2c8e3e90967
http://www.ufcstats.com/fighter-details/af9efbfd63d39734,1c9828ec-6a7c-4737-ae3e-338b6bece4e3
http://www.ufcstats.com/fighter-details/e1248941344b3288,2e39ce51-0112-4185-8647-169ff8462b7d
http://www.ufcstats.com/fighter-details/f166e93d04a8c274,713f55b4-ceec-46b4-a65d-1febc05c7b1c
http://www.ufcstats.com/fighter-details/7826923b47f8d72a,502a687b-b19a-41a1-a15a-ca3cd50b8f53
http://www.ufcstats.com/fighter-details/4b93a88f3b1de35b,6382f2fa-e878-4795-bbfd-45ff9f0433dd
http://www.ufcstats.com/fighter-details/cbf5e6f231b55443,a506d9f5-11fb-41fe-9b24-37edda25c2d9
http://www.ufcstats.com/fighter-details/98a58c26c5b1ed17,9e81fa3b-2cde-4550-be7a-9ec04d6ccd24
http://www.ufcstats.com/fighter-details/52ef95b5860fb28c,469049be-3469-4b64-8a4c-649ab1687f42
http://www.ufcstats.com/fighter-details/d9c6f19f958643e9,7c663667-55f9-4039-8d4a-359a534f5a31
http://www.ufcstats.com/fighter-details/2e19380f34871c6a,2b80a0cb-0cd5-48dd-aa3b-0875d465d66f
http://www.ufcstats.com/fighter-details/1091d4d957141094,e0300d1b-712f-422a-927e-c65611aa54af
http://www.ufcstats.com/fighter-details/82a5152216251682,5e4eff65-e697-4e56-9181-04fdbd76585f
http://www.ufcstats.com/fighter-details/4682bc59d5f55145,d4f47056-2e6d-4a4b-acab-6ec58ae408cb
http://www.ufcstats.com/fighter-details/7dda2cf308f24a02,ec774661-1c63-4e75-87d6-3cda6a5ede03
http://www.ufcstats.com/fighter-details/c41d426cc7326d1b,4eb063b2-9011-4e7a-96c4-cc2116dfb008
http://www.ufcstats.com/fighter-details/971246648e162f0d,253729bb-ca7c-4b5f-9d5c-eea0bccbb186
http://www.ufcstats.com/fighter-details/d1941565abf50b16,da585ec9-ac2e-491b-9f66-d5e4b0c4713f
http://www.ufcstats.com/fighter-details/92a9aa9c93192871,a339bcab-0749-44f3-90a8-4304920f19a1
http://www.ufcstats.com/fighter-details/0d65c432720accb9,c8350e82-f404-4176-859e-cc24e219506f
http://www.ufcstats.com/fighter-details/4e6738062d469256,f13e26ab-82fb-4cdd-aae6-3d4e5726a18e
http://www.ufcstats.com/fighter-details/3cf18e01cb6cbde3,f82755c6-f0c9-4e09-9b58-a8b415c83371
http://www.ufcstats.com/fighter-details/0be6776db31d98ec,4faa0bed-099b-415f-b16b-2fc2a92670a4
http://www.ufcstats.com/fighter-details/9384e71bca6c409d,e5d84327-8c04-4cce-8ee6-98c6305d1e44
http://www.ufcstats.com/fighter-details/147e70aa6cc48cfc,55ef4009-b479-42b2-9b52-daa0f8996419
http://www.ufcstats.com/fighter-details/f2b3f4ef3f780168,bc86f30c-8dfd-4114-bc30-ad0cb07894d0
http://www.ufcstats.com/fighter-details/3c26c420584d912d,776f5e3e-522a-4a2a-b96b-508f48ea79c0
http://www.ufcstats.com/fighter-details/396fe87b84ac2e1c,cb121188-3c74-4201-95dd-dff8154e8297
http://www.ufcstats.com/fighter-details/fba03cd6cc28dc41,1ab44c5a-af18-4a7c-a826-b0e407418dab
http://www.ufcstats.com/fighter-details/b8bbdeff718dbb7d,8aa56e0b-8c2a-46b5-a54e-a4c9b731a2cf
http://www.ufcstats.com/fighter-details/791c8437b341fba5,d053df56-9a91-43d9-8fcb-81ee9009883c
http://www.ufcstats.com/fighter-details/117a06469813e4ef,8b57c5d2-2027-4df9-a114-3aae5c84d49a
http://www.ufcstats.com/fighter-details/8173f134396cb971,9f352d96-ce26-4196-b0f6-a95ff8a5d54c
http://www.ufcstats.com/fighter-details/0c6d9ea8306c029e,dba74ac1-1123-49f8-8bcc-535fc4a231b2
http://www.ufcstats.com/fighter-details/6ac9bc2953c47345,ffb6c18d-20f7-409d-92d6-fa1adb3c745f
http://www.ufcstats.com/fighter-details/6d68c1afe954f121,a0f2f41e-3a8b-4a9f-9be5-e66a50bf5ac8
http://www.ufcstats.com/fighter-details/29162be25ebef5f0,a58ba7e0-2773-4c75-9665-2ece017c28ee
