fight,redCorner,blueCorner,winner,event,referee,method_of_victory,date,venue,title_fight,billing,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_fan,blueCorner_fan,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str,blueCorner_sig_str,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_total_str,blueCorner_total_str,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,round,time,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance
Nathaniel Wood vs Andre Ewell,Nathaniel Wood,Andre Ewell,Nathaniel Wood,UFC 232: Jones vs. Gustafsson 2,Mark Smith,Submission,12.29.2018,The Forum,no,Preliminary Card,13,14,3,4,0,0,25.0,30.0,England,United States,34%,66%,1,0,61 of 114,15 of 58,53%,25%,171 of 234,18 of 62,2 of 3,0 of 0,66%,,1,0,3,4:12,"5' 6""","5' 8""","69""","75""",Orthodox,Southpaw
Uriah Hall vs Bevon Lewis,Uriah Hall,Bevon Lewis,Uriah Hall,UFC 232: Jones vs. Gustafsson 2,Marc Goddard,KO/TKO,12.29.2018,The Forum,no,Preliminary Card,13,6,9,0,0,0,34.0,27.0,Jamaica,United States,65%,35%,1,0,39 of 88,68 of 157,44%,43%,42 of 91,77 of 168,0 of 0,0 of 0,,,0,0,3,1:32,"6' 0""","6' 3""","79""","79""",Orthodox,Orthodox
Curtis Millender vs Siyar Bahadurzada,Curtis Millender,Siyar Bahadurzada,Curtis Millender,UFC 232: Jones vs. Gustafsson 2,Mike Beltran,Decision - Unanimous,12.29.2018,The Forum,no,Preliminary Card,16,24,3,6,0,2,31.0,34.0,United States,Afghanistan,81%,19%,0,0,89 of 165,40 of 121,53%,33%,91 of 167,65 of 149,0 of 0,3 of 7,,42%,0,0,3,5:00,"6' 2""","5' 11""","76""","73""",Orthodox,Orthodox
Montel Jackson vs Brian Kelleher,Brian Kelleher,Montel Jackson,Montel Jackson,UFC 232: Jones vs. Gustafsson 2,Ed Collantes,Submission,12.29.2018,The Forum,no,Preliminary Card,19,6,9,1,0,0,32.0,26.0,United States,United States,69%,31%,0,0,6 of 10,10 of 16,60%,62%,6 of 10,16 of 27,0 of 1,0 of 0,0%,,0,1,1,1:40,"5' 6""","5' 10""","66""","75""",Switch,Southpaw
Al Iaquinta vs Kevin Lee,Kevin Lee,Al Iaquinta,Al Iaquinta,UFC Fight Night: Lee vs. Iaquinta,Keith Peterson,Decision - Unanimous,12.15.2018,Wisconsin Entertainment and Sports Center,no,Main Event,17,13,3,4,0,1,26.0,31.0,,United States,77%,23%,0,0,102 of 296,111 of 228,34%,48%,121 of 319,113 of 230,3 of 5,0 of 7,60%,0%,0,0,5,5:00,"5' 9""","5' 10""","77""","70""",Orthodox,Orthodox
Edson Barboza vs Dan Hooker,Edson Barboza,Dan Hooker,Edson Barboza,UFC Fight Night: Lee vs. Iaquinta,Rob Hinds,KO/TKO,12.15.2018,Wisconsin Entertainment and Sports Center,no,Co-Main Event,19,17,6,7,0,0,32.0,28.0,Brazil,New Zealand,44%,56%,1,0,126 of 226,81 of 204,55%,39%,127 of 227,111 of 234,0 of 1,0 of 1,0%,0%,0,0,3,2:19,"5' 11""","6' 0""","75""","75""",Orthodox,Switch
Rob Font vs Sergio Pettis,Rob Font,Sergio Pettis,Rob Font,UFC Fight Night: Lee vs. Iaquinta,Robert Madrigal,Decision - Unanimous,12.15.2018,Wisconsin Entertainment and Sports Center,no,Main Card,15,17,4,4,0,0,31.0,25.0,United States,United States,54%,46%,0,0,111 of 247,71 of 185,44%,38%,118 of 255,88 of 206,2 of 4,1 of 2,50%,50%,1,0,3,5:00,"5' 8""","5' 6""","71""","69""",Orthodox,Orthodox
Charles Oliveira vs Jim Miller,Jim Miller,Charles Oliveira,Charles Oliveira,UFC Fight Night: Lee vs. Iaquinta,Keith Peterson,Submission,12.15.2018,Wisconsin Entertainment and Sports Center,no,Main Card,29,24,12,8,0,0,35.0,29.0,,Brazil,13%,87%,0,0,1 of 2,0 of 1,50%,0%,1 of 2,1 of 2,0 of 0,1 of 1,,100%,0,1,1,1:15,"5' 8""","5' 10""","71""","74""",Southpaw,Orthodox
Zak Ottow vs Dwight Grant,Zak Ottow,Dwight Grant,Zak Ottow,UFC Fight Night: Lee vs. Iaquinta,Rob Hinds,Decision - Split,12.15.2018,Wisconsin Entertainment and Sports Center,no,Preliminary Card,16,8,6,1,0,0,31.0,34.0,United States,United States,92%,8%,0,0,14 of 71,25 of 84,19%,29%,22 of 82,33 of 93,1 of 6,1 of 1,16%,100%,0,0,3,5:00,"5' 11""","6' 1""","72""","76""",Orthodox,Switch
Drakkar Klose vs Bobby Green,Bobby Green,Drakkar Klose,Drakkar Klose,UFC Fight Night: Lee vs. Iaquinta,Keith Peterson,Decision - Unanimous,12.15.2018,Wisconsin Entertainment and Sports Center,no,Preliminary Card,24,9,8,1,1,1,32.0,30.0,United States,United States,20%,80%,0,0,92 of 154,58 of 131,59%,44%,110 of 176,69 of 143,1 of 4,0 of 6,25%,0%,1,0,3,5:00,"5' 10""","5' 9""","71""","70""",Orthodox,Orthodox
Joaquim Silva vs Jared Gordon,Jared Gordon,Joaquim Silva,Joaquim Silva,UFC Fight Night: Lee vs. Iaquinta,Rob Hinds,KO/TKO,12.15.2018,Wisconsin Entertainment and Sports Center,no,Preliminary Card,14,10,2,1,0,0,30.0,29.0,United States,Brazil,77%,23%,0,0,116 of 194,95 of 191,59%,49%,149 of 228,121 of 218,3 of 8,1 of 1,37%,100%,0,2,3,2:39,"5' 9""","5' 8""","68""","69""",Orthodox,Southpaw
Jack Hermansson vs Gerald Meerschaert,Gerald Meerschaert,Jack Hermansson,Jack Hermansson,UFC Fight Night: Lee vs. Iaquinta,Robert Madrigal,Submission,12.15.2018,Wisconsin Entertainment and Sports Center,no,Preliminary Card,29,17,9,4,0,0,30.0,30.0,United States,Sweden,30%,70%,0,0,1 of 2,41 of 59,50%,69%,1 of 2,53 of 73,0 of 2,1 of 2,0%,50%,0,1,1,4:25,"6' 1""","6' 1""","77""","77""",Southpaw,Orthodox
Zak Cummings vs Trevor Smith,Trevor Smith,Zak Cummings,Zak Cummings,UFC Fight Night: Lee vs. Iaquinta,Keith Peterson,Decision - Unanimous,12.15.2018,Wisconsin Entertainment and Sports Center,no,Preliminary Card,14,21,8,6,0,0,37.0,34.0,United States,United States,12%,88%,0,1,54 of 103,56 of 139,52%,40%,73 of 128,63 of 147,0 of 0,0 of 5,,0%,0,0,3,5:00,"6' 3""","6' 0""","75""","75""",Orthodox,Southpaw
Dan Ige vs Jordan Griffin,Dan Ige,Jordan Griffin,Dan Ige,UFC Fight Night: Lee vs. Iaquinta,Joe Fipp,Decision - Unanimous,12.15.2018,Wisconsin Entertainment and Sports Center,no,Preliminary Card,9,17,2,5,0,0,27.0,28.0,United States,United States,25%,75%,0,0,56 of 107,56 of 107,52%,52%,86 of 144,71 of 123,3 of 7,0 of 2,42%,0%,0,1,3,5:00,"5' 7""","5' 10""","71""","73""",Orthodox,Southpaw
Mike Rodriguez vs Adam Milstead,Adam Milstead,Mike Rodriguez,Mike Rodriguez,UFC Fight Night: Lee vs. Iaquinta,Rob Hinds,KO/TKO,12.15.2018,Wisconsin Entertainment and Sports Center,no,Preliminary Card,8,9,2,3,0,0,31.0,30.0,United States,United States,38%,62%,0,2,10 of 21,35 of 42,47%,83%,22 of 34,44 of 53,0 of 0,0 of 0,,,0,0,1,2:59,"6' 3""","6' 4""","76""","82""",Orthodox,Southpaw
Juan Adams vs Chris De La Rocha,Chris de la Rocha,Juan Adams,Juan Adams,UFC Fight Night: Lee vs. Iaquinta,Joe Fipp,KO/TKO,12.15.2018,Wisconsin Entertainment and Sports Center,no,Preliminary Card,5,4,2,0,0,0,39.0,26.0,United States,United States,93%,7%,0,0,41 of 76,86 of 144,53%,59%,46 of 81,121 of 180,1 of 2,2 of 2,50%,100%,0,0,3,0:58,"6' 3""","6' 5""","80""","80""",Orthodox,Orthodox
Max Holloway vs Brian Ortega,Max Holloway,Brian Ortega,Max Holloway,UFC 231: Holloway vs. Ortega,Yves Lavigne,TKO - Doctor's Stoppage,12.08.2018,Scotiabank Arena,yes,Main Event,19,14,3,0,0,0,27.0,27.0,United States,United States,47%,53%,0,0,290 of 490,110 of 292,59%,37%,307 of 507,112 of 294,1 of 1,2 of 11,100%,18%,0,0,4,5:00,"5' 11""","5' 8""","69""","69""",Orthodox,Switch
Valentina Shevchenko vs Joanna Jedrzejczyk,Valentina Shevchenko,Joanna Jedrzejczyk,Valentina Shevchenko,UFC 231: Holloway vs. Ortega,Todd Ronald Anderson,Decision - Unanimous,12.08.2018,Scotiabank Arena,yes,Co-Main Event,15,15,3,2,0,0,30.0,31.0,Kyrgyzstan,Poland,78%,22%,0,0,89 of 191,78 of 250,46%,31%,118 of 223,124 of 300,5 of 14,0 of 0,35%,,0,0,5,5:00,"5' 5""","5' 6""","66""","65""",Southpaw,Orthodox
Gunnar Nelson vs Alex Oliveira,Alex Oliveira,Gunnar Nelson,Gunnar Nelson,UFC 231: Holloway vs. Ortega,Jerin Valel,Submission,12.08.2018,Scotiabank Arena,no,Main Card,20,16,5,3,1,1,30.0,30.0,Brazil,Iceland,52%,48%,0,0,36 of 49,11 of 11,73%,100%,52 of 69,20 of 20,0 of 2,2 of 5,0%,40%,0,1,2,4:17,"5' 11""","5' 11""","76""","72""",Orthodox,Switch
Hakeem Dawodu vs Kyle Bochniak,Hakeem Dawodu,Kyle Bochniak,Hakeem Dawodu,UFC 231: Holloway vs. Ortega,Yves Lavigne,Decision - Split,12.08.2018,Scotiabank Arena,no,Main Card,8,8,1,3,1,0,27.0,31.0,Canada,United States,33%,67%,0,0,103 of 212,42 of 109,48%,38%,103 of 212,47 of 114,0 of 0,2 of 12,,16%,0,0,3,5:00,"5' 8""","5' 7""","73""","70""",Orthodox,Orthodox
Thiago Santos vs Jimi Manuwa,Jimi Manuwa,Thiago Santos,Thiago Santos,UFC 231: Holloway vs. Ortega,Todd Ronald Anderson,KO/TKO,12.08.2018,Scotiabank Arena,no,Main Card,17,19,4,6,0,0,38.0,34.0,United Kingdom,Brazil,28%,72%,0,2,27 of 42,42 of 74,64%,56%,30 of 45,65 of 97,0 of 2,1 of 3,0%,33%,0,0,2,0:41,"6' 1""","6' 2""","79""","76""",Orthodox,Orthodox
Nina Nunes vs Claudia Gadelha,Claudia Gadelha,Nina Nunes,Nina Nunes,UFC 231: Holloway vs. Ortega,Jerin Valel,Decision - Unanimous,12.08.2018,Scotiabank Arena,no,Preliminary Card,16,9,3,5,0,0,30.0,33.0,Brazil,United States,5%,95%,0,0,49 of 112,96 of 211,43%,45%,85 of 149,123 of 238,2 of 10,0 of 0,20%,,0,0,3,5:00,"5' 4""","5' 5""","63""","64""",Orthodox,Orthodox
Gilbert Burns vs Olivier Aubin Mercier,Olivier Aubin Mercier,Gilbert Burns,Gilbert Burns,UFC 231: Holloway vs. Ortega,Yves Lavigne,Decision - Unanimous,12.08.2018,Scotiabank Arena,no,Preliminary Card,11,13,3,3,0,0,29.0,32.0,Canada,Brazil,68%,32%,0,1,40 of 96,76 of 143,41%,53%,42 of 98,120 of 190,0 of 0,3 of 7,,42%,0,0,3,5:00,"5' 9""","5' 10""","70""","71""",Southpaw,Orthodox
Jessica Eye vs Katlyn Chookagian,Katlyn Chookagian,Jessica Eye,Jessica Eye,UFC 231: Holloway vs. Ortega,Todd Ronald Anderson,Decision - Split,12.08.2018,Scotiabank Arena,no,Preliminary Card,11,13,1,6,0,0,29.0,32.0,United States,United States,22%,78%,0,0,65 of 201,81 of 190,32%,42%,70 of 207,83 of 192,0 of 0,0 of 3,,0%,0,0,3,5:00,"5' 9""","5' 6""","68""","66""",Orthodox,Orthodox
Elias Theodorou vs Eryk Anders,Elias Theodorou,Eryk Anders,Elias Theodorou,UFC 231: Holloway vs. Ortega,Jerin Valel,Decision - Split,12.08.2018,Scotiabank Arena,no,Preliminary Card,11,15,2,2,0,0,31.0,30.0,United States,Canada,63%,37%,0,1,92 of 211,65 of 133,43%,48%,102 of 221,66 of 134,0 of 3,0 of 1,0%,0%,0,0,3,5:00,"6' 1""","6' 1""","75""","75""",Orthodox,Southpaw
Brad Katona vs Matthew Lopez,Brad Katona,Matthew Lopez,Brad Katona,UFC 231: Holloway vs. Ortega,Brian Beauchamp,Decision - Unanimous,12.08.2018,Scotiabank Arena,no,Preliminary Card,7,10,0,3,0,0,26.0,31.0,Canada,United States,17%,83%,0,0,76 of 158,69 of 142,48%,48%,86 of 170,79 of 155,0 of 3,4 of 6,0%,66%,0,1,3,5:00,"5' 6""","5' 7""","64""","69""",Orthodox,Southpaw
Dhiego Lima vs Chad Laprise,Chad Laprise,Dhiego Lima,Dhiego Lima,UFC 231: Holloway vs. Ortega,Graham Bettes,KO/TKO,12.08.2018,Scotiabank Arena,no,Preliminary Card,13,12,3,7,0,0,32.0,28.0,Canada,Brazil,18%,82%,0,1,8 of 16,5 of 25,50%,20%,8 of 16,5 of 25,0 of 0,0 of 0,,,0,0,1,1:37,"5' 10""","6' 2""","71""","75""",Orthodox,Orthodox
Diego Ferreira vs Kyle Nelson,Diego Ferreira,Kyle Nelson,Diego Ferreira,UFC 231: Holloway vs. Ortega,Ivan Svec,KO/TKO,12.08.2018,Scotiabank Arena,no,Preliminary Card,13,12,2,1,0,0,33.0,27.0,Brazil,Canada,83%,17%,0,0,54 of 102,20 of 50,52%,40%,63 of 112,20 of 50,2 of 4,0 of 0,50%,,1,0,2,1:23,"5' 9""","5' 11""","74""","71""",Orthodox,Switch
Aleksandar Rakic vs Devin Clark,Devin Clark,Aleksandar Rakic,Aleksandar Rakic,UFC 231: Holloway vs. Ortega,Brian Beauchamp,KO/TKO,12.08.2018,Scotiabank Arena,no,Preliminary Card,9,10,2,1,0,0,28.0,26.0,United States,Serbia,92%,8%,1,1,19 of 31,31 of 45,61%,68%,24 of 36,33 of 47,0 of 2,0 of 1,0%,0%,0,0,1,4:05,"6' 0""","6' 4""","75""","78""",Orthodox,Orthodox
Junior dos Santos vs Tai Tuivasa,Junior Dos Santos,Tai Tuivasa,Junior Dos Santos,UFC Fight Night: Dos Santos vs. Tuivasa,Herb Dean,KO/TKO,12.01.2018,Adelaide Entertainment Center,no,Main Event,19,10,5,0,0,0,34.0,25.0,Brazil,Australia,38%,62%,1,0,26 of 65,16 of 42,40%,38%,37 of 77,16 of 46,0 of 0,0 of 0,,,0,0,2,2:30,"6' 4""","6' 2""","77""","75""",Orthodox,Southpaw
Mauricio Rua vs Tyson Pedro,Mauricio Rua,Tyson Pedro,Mauricio Rua,UFC Fight Night: Dos Santos vs. Tuivasa,Steve Perceval,KO/TKO,12.01.2018,Adelaide Entertainment Center,no,Co-Main Event,25,7,11,2,0,0,37.0,27.0,Brazil,Australia,14%,86%,1,0,30 of 56,31 of 44,53%,70%,62 of 94,36 of 49,3 of 5,0 of 1,60%,0%,0,1,3,0:43,"6' 1""","6' 3""","76""","79""",Orthodox,Orthodox
Justin Willis vs Mark Hunt,Mark Hunt,Justin Willis,Justin Willis,UFC Fight Night: Dos Santos vs. Tuivasa,Herb Dean,Decision - Unanimous,12.01.2018,Adelaide Entertainment Center,no,Main Card,13,7,13,1,1,0,44.0,31.0,New Zealand,United States,30%,70%,0,0,19 of 60,59 of 103,31%,57%,19 of 60,59 of 103,0 of 0,0 of 0,,,0,0,3,5:00,"5' 10""","6' 1""","72""","78""",Orthodox,Southpaw
Anthony Rocco Martin vs Jake Matthews,Jake Matthews,Anthony Rocco Martin,Anthony Rocco Martin,UFC Fight Night: Dos Santos vs. Tuivasa,Jim Perdios,Submission,12.01.2018,Adelaide Entertainment Center,no,Main Card,14,14,3,4,0,0,24.0,28.0,Australia,United States,73%,27%,0,0,24 of 75,25 of 86,32%,29%,27 of 78,33 of 94,0 of 1,0 of 0,0%,,1,1,3,1:19,"5' 11""","6' 0""","73""","73""",Orthodox,Orthodox
Sodiq Yusuff vs Suman Mokhtarian,Suman Mokhtarian,Sodiq Yusuff,Sodiq Yusuff,UFC Fight Night: Dos Santos vs. Tuivasa,Greg Kleynjans,KO/TKO,12.01.2018,Adelaide Entertainment Center,no,Main Card,8,7,0,1,0,0,26.0,25.0,Australia,Nigeria,21%,79%,0,0,5 of 9,23 of 43,55%,53%,6 of 10,44 of 66,0 of 0,0 of 0,,,0,0,1,2:14,"5' 8""","5' 9""","72""","71""",Orthodox,Orthodox
Jimmy Crute vs Paul Craig,Jimmy Crute,Paul Craig,Jimmy Crute,UFC Fight Night: Dos Santos vs. Tuivasa,Steve Perceval,Submission,12.01.2018,Adelaide Entertainment Center,no,Main Card,8,10,0,2,0,0,22.0,31.0,Australia,Scotland,75%,25%,0,0,17 of 38,12 of 22,44%,54%,49 of 75,45 of 57,1 of 1,3 of 7,100%,42%,4,0,3,4:51,"6' 2""","6' 3""","74""","76""",Orthodox,Orthodox
Aleskei Kunchenko vs Yushin Okami,Yushin Okami,Aleksei Kunchenko,Aleksei Kunchenko,UFC Fight Night: Dos Santos vs. Tuivasa,Neil Swailes,Decision - Unanimous,12.01.2018,Adelaide Entertainment Center,no,Preliminary Card,36,19,11,0,0,0,37.0,34.0,Japan,Russia,14%,86%,0,0,10 of 56,72 of 129,17%,55%,10 of 56,141 of 203,0 of 15,0 of 0,0%,,0,0,3,5:00,"6' 2""","5' 8""","75""","70""",Southpaw,Orthodox
Wilson Reis vs Ben Nguyen,Wilson Reis,Ben Nguyen,Wilson Reis,UFC Fight Night: Dos Santos vs. Tuivasa,Herb Dean,Decision - Unanimous,12.01.2018,Adelaide Entertainment Center,no,Preliminary Card,22,17,9,7,0,0,33.0,30.0,Brazil,United States,71%,29%,0,0,32 of 115,39 of 111,27%,35%,41 of 126,53 of 126,7 of 17,0 of 0,41%,,1,0,3,5:00,"5' 4""","5' 5""","65""","65""",Southpaw,Switch
Keita Nakamura vs Salim Touahri,Keita Nakamura,Salim Touahri,Keita Nakamura,UFC Fight Night: Dos Santos vs. Tuivasa,Jim Perdios,Decision - Split,12.01.2018,Adelaide Entertainment Center,no,Preliminary Card,33,10,9,2,2,0,34.0,29.0,Japan,Poland,66%,34%,1,0,41 of 97,34 of 79,42%,43%,55 of 112,42 of 87,0 of 4,0 of 0,0%,,0,0,3,5:00,"5' 11""","5' 10""","73""","72""",Southpaw,Orthodox
Kai Kara France vs Elias Garcia,Elias Garcia,Kai Kara France,Kai Kara France,UFC Fight Night: Dos Santos vs. Tuivasa,Greg Kleynjans,Decision - Unanimous,12.01.2018,Adelaide Entertainment Center,no,Preliminary Card,6,17,1,7,0,0,26.0,25.0,United States,New Zealand,91%,9%,1,1,16 of 73,86 of 178,21%,48%,20 of 77,157 of 261,1 of 7,0 of 0,14%,,2,0,3,5:00,"5' 5""","5' 4""","67""","69""",Southpaw,Orthodox
Christos Giagos vs Mizuto Hirota,Mizuto Hirota,Christos Giagos,Christos Giagos,UFC Fight Night: Dos Santos vs. Tuivasa,Steve Perceval,Decision - Unanimous,12.01.2018,Adelaide Entertainment Center,no,Preliminary Card,18,15,9,7,2,0,37.0,28.0,Japan,United States,14%,86%,0,0,19 of 55,31 of 90,34%,34%,47 of 86,63 of 131,0 of 0,5 of 10,,50%,1,0,3,5:00,"5' 7""","5' 10""","67""","71""",Orthodox,Orthodox
Damir Ismagulov vs Alex Gorgees,Alex Gorgees,Damir Ismagulov,Damir Ismagulov,UFC Fight Night: Dos Santos vs. Tuivasa,Neil Swailes,Decision - Unanimous,12.01.2018,Adelaide Entertainment Center,no,Preliminary Card,7,19,0,1,0,0,23.0,27.0,Iraq,Kazakhstan,91%,9%,0,0,10 of 31,34 of 55,32%,61%,22 of 43,103 of 137,0 of 0,5 of 11,,45%,0,0,3,5:00,"6' 2""","5' 10""","74""","74""",Switch,Orthodox
Kamaru Usman vs Rafael dos Anjos,Rafael Dos Anjos,Kamaru Usman,Kamaru Usman,The Ultimate Fighter: Heavy Hitters Finale,Yves Lavigne,Decision - Unanimous,11.30.2018,The Pearl at the Palms,no,Main Event,28,13,10,1,0,0,34.0,31.0,Brazil,Nigeria,81%,19%,0,0,62 of 112,130 of 223,55%,58%,84 of 138,227 of 334,0 of 1,12 of 18,0%,66%,2,0,5,5:00,"5' 8""","6' 0""","70""","76""",Southpaw,Switch
Juan Espino vs Justin Frazier,Juan Espino,Justin Frazier,Juan Espino,The Ultimate Fighter: Heavy Hitters Finale,Mark Smith,Submission,11.30.2018,The Pearl at the Palms,yes,Main Card,10,8,2,1,0,0,29.0,38.0,United States,Spain,40%,60%,0,0,22 of 23,4 of 6,95%,66%,44 of 52,17 of 19,2 of 2,0 of 0,100%,,2,0,1,3:36,"6' 3""","6' 0""","80""","75""",Orthodox,Southpaw
Macy Chiasson vs Pannie Kianzad,Pannie Kianzad,Macy Chiasson,Macy Chiasson,The Ultimate Fighter: Heavy Hitters Finale,Yves Lavigne,Submission,11.30.2018,The Pearl at the Palms,yes,Main Card,10,2,3,0,0,0,26.0,27.0,Sweden,United States,69%,31%,0,1,19 of 39,24 of 50,48%,48%,30 of 50,37 of 64,0 of 2,0 of 6,0%,0%,1,2,2,2:11,"5' 7""","5' 11""","66""","72""",Orthodox,Orthodox
Pedro Munhoz vs Bryan Caraway,Pedro Munhoz,Bryan Caraway,Pedro Munhoz,The Ultimate Fighter: Heavy Hitters Finale,Chris Tognoni,KO/TKO,11.30.2018,The Pearl at the Palms,no,Main Card,16,19,3,8,0,0,32.0,34.0,Brazil,,17%,83%,1,0,35 of 58,20 of 48,60%,41%,38 of 62,21 of 49,0 of 0,0 of 5,,0%,0,0,1,2:39,"5' 6""","5' 8""","65""","68""",Orthodox,Orthodox
Edmen Shahbazyan vs Darren Stewart,Darren Stewart,Edmen Shahbazyan,Edmen Shahbazyan,The Ultimate Fighter: Heavy Hitters Finale,Mark Smith,Decision - Split,11.30.2018,The Pearl at the Palms,no,Main Card,9,7,3,0,0,0,27.0,21.0,England,United States,33%,67%,0,0,34 of 71,22 of 37,47%,59%,46 of 84,27 of 43,1 of 3,8 of 21,33%,38%,0,0,3,5:00,"6' 0""","6' 2""","74""","75""",Orthodox,Orthodox
Antonina Shevchenko vs Ji Yeon Kim,Ji Yeon Kim,Antonina Shevchenko,Antonina Shevchenko,The Ultimate Fighter: Heavy Hitters Finale,Yves Lavigne,Decision - Unanimous,11.30.2018,The Pearl at the Palms,no,Main Card,8,6,1,0,2,0,29.0,34.0,South Korea,Kyrgyzstan,8%,92%,0,0,33 of 128,66 of 134,25%,49%,85 of 188,87 of 167,0 of 0,2 of 2,,100%,0,0,3,5:00,"5' 7""","5' 8""","72""","67""",Orthodox,Southpaw
Kevin Aguilar vs Ricky Glenn,Ricky Glenn,Kevin Aguilar,Kevin Aguilar,The Ultimate Fighter: Heavy Hitters Finale,Chris Tognoni,Decision - Unanimous,11.30.2018,The Pearl at the Palms,no,Preliminary Card,21,15,5,1,1,0,29.0,30.0,United States,United States,58%,42%,0,1,74 of 187,86 of 168,39%,51%,77 of 190,103 of 186,0 of 4,0 of 1,0%,0%,0,0,3,5:00,"6' 0""","5' 7""","70""","73""",Southpaw,Orthodox
Joseph Benavidez vs Alex Perez,Joseph Benavidez,Alex Perez,Joseph Benavidez,The Ultimate Fighter: Heavy Hitters Finale,Yves Lavigne,KO/TKO,11.30.2018,The Pearl at the Palms,no,Preliminary Card,25,21,5,4,0,0,34.0,26.0,United States,United States,73%,27%,0,0,35 of 72,14 of 32,48%,43%,42 of 79,14 of 32,1 of 2,1 of 1,50%,100%,0,0,1,4:19,"5' 4""","5' 6""","65""","65""",Southpaw,Orthodox
Maurice Greene vs Michel Batista,Maurice Greene,Michel Batista,Maurice Greene,The Ultimate Fighter: Heavy Hitters Finale,Mark Smith,Submission,11.30.2018,The Pearl at the Palms,no,Preliminary Card,4,5,0,2,0,0,34.0,32.0,Cuba,United States,72%,28%,0,0,9 of 15,0 of 0,60%,,11 of 18,4 of 10,0 of 0,1 of 2,,50%,1,0,1,2:14,"6' 7""","6' 3""","80""",81,Orthodox,Orthodox
Leah Letson vs Julija Stoliarenko,Julija Stoliarenko,Leah Letson,Leah Letson,The Ultimate Fighter: Heavy Hitters Finale,Chris Tognoni,Decision - Split,11.30.2018,The Pearl at the Palms,no,Preliminary Card,4,4,2,1,1,0,25.0,26.0,Lithuania,United States,19%,81%,0,0,57 of 158,73 of 179,36%,40%,66 of 168,88 of 196,0 of 4,0 of 1,0%,0%,1,0,3,5:00,"5' 7""","5' 7""","66""","71""",Orthodox,Southpaw
Roosevelt Roberts vs Darrell Horcher,Roosevelt Roberts,Darrell Horcher,Roosevelt Roberts,The Ultimate Fighter: Heavy Hitters Finale,Yves Lavigne,Submission,11.30.2018,The Pearl at the Palms,no,Preliminary Card,6,13,0,3,0,0,24.0,31.0,United States,United States,23%,77%,0,0,16 of 35,10 of 33,45%,30%,23 of 42,19 of 43,0 of 0,0 of 1,,0%,1,0,1,4:50,"6' 2""","5' 10""","73""","70""",Orthodox,Southpaw
Tim Means vs Ricky Rainey,Tim Means,Ricky Rainey,Tim Means,The Ultimate Fighter: Heavy Hitters Finale,Mark Smith,KO/TKO,11.30.2018,The Pearl at the Palms,no,Preliminary Card,27,13,10,5,1,0,34.0,35.0,United States,United States,89%,11%,0,0,19 of 32,6 of 12,59%,50%,26 of 39,6 of 12,2 of 2,0 of 0,100%,,0,0,1,1:18,"6' 2""","6' 1""","75""","77""",Orthodox,Switch
Raoni Barcelos vs Chris Gutierrez,Raoni Barcelos,Chris Gutierrez,Raoni Barcelos,The Ultimate Fighter: Heavy Hitters Finale,Chris Tognoni,Submission,11.30.2018,The Pearl at the Palms,no,Preliminary Card,12,12,1,2,0,1,31.0,27.0,Brazil,United States,12%,88%,0,0,35 of 63,26 of 52,55%,50%,83 of 118,32 of 60,2 of 2,0 of 1,100%,0%,1,0,2,4:12,"5' 7""","5' 9""","67""","67""",Orthodox,Orthodox
Francis NGannou vs Curtis Blaydes,Curtis Blaydes,Francis Ngannou,Francis Ngannou,UFC Fight Night: Blaydes vs. Ngannou 2,Marc Goddard,KO/TKO,11.24.2018,Cadillac Arena,no,Main Event,10,11,1,3,0,0,27.0,32.0,United States,Cameroon,26%,74%,0,1,1 of 8,13 of 17,12%,76%,1 of 8,13 of 17,0 of 2,0 of 0,0%,,0,0,1,0:45,"6' 4""","6' 4""","80""","83""",Orthodox,Orthodox
Alistair Overeem vs Sergei Pavlovich,Alistair Overeem,Sergei Pavlovich,Alistair Overeem,UFC Fight Night: Blaydes vs. Ngannou 2,John Sharp,KO/TKO,11.24.2018,Cadillac Arena,no,Co-Main Event,43,12,17,0,0,0,38.0,26.0,Netherlands,Russia,42%,58%,0,0,22 of 26,13 of 32,84%,40%,26 of 31,18 of 37,1 of 2,0 of 2,50%,0%,0,0,1,4:21,"6' 4""","6' 3""","80""","84""",Orthodox,Southpaw
Yadong Song vs Vince Morales,Song Yadong,Vince Morales,Song Yadong,UFC Fight Night: Blaydes vs. Ngannou 2,Marc Goddard,Decision - Unanimous,11.24.2018,Cadillac Arena,no,Main Card,13,8,5,2,0,0,20.0,28.0,China,United States,11%,89%,0,0,79 of 172,74 of 201,45%,36%,86 of 181,83 of 211,2 of 2,0 of 0,100%,,0,0,3,5:00,"5' 8""","5' 9""","67""","70""",Orthodox,Orthodox
