fight,redCorner,blueCorner,winner,event,referee,method_of_victory,date,venue,title_fight,billing,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_fan,blueCorner_fan,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str,blueCorner_sig_str,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_total_str,blueCorner_total_str,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,round,time,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance
Dan Henderson vs Michael Bisping,Dan Henderson,Michael Bisping,Dan Henderson,UFC 100,Mario Yamasaki,KO/TKO,07.11.2009,Mandalay Bay Events Center,no,Main Card,24,17,7,1,0,0,38.0,30.0,United States,,,,1,0,29 of 98,22 of 109,29%,20%,29 of 98,22 of 109,0 of 0,0 of 1,,0%,0,0,2,3:20,"5' 11""","6' 1""","74""","75""",Orthodox,Orthodox
Yoshihiro Akiyama vs Alan Belcher,Yoshihiro Akiyama,Alan Belcher,Yoshihiro Akiyama,UFC 100,Mario Yamasaki,Decision - Split,07.11.2009,Mandalay Bay Events Center,no,Main Card,12,14,1,5,0,0,33.0,25.0,Japan,,,,0,1,55 of 156,76 of 156,35%,48%,70 of 173,76 of 156,3 of 4,0 of 0,75%,,0,0,3,5:00,"5' 10""","6' 2""","75""","75""",Orthodox,Orthodox
Mark Coleman vs Stephan Bonnar,Mark Coleman,Stephan Bonnar,Mark Coleman,UFC 100,Herb Dean,Decision - Unanimous,07.11.2009,Mandalay Bay Events Center,no,Preliminary Card,15,12,9,5,0,0,44.0,32.0,United States,,,,0,0,20 of 36,26 of 60,55%,43%,59 of 82,68 of 103,3 of 9,0 of 0,33%,,0,3,3,5:00,"6' 1""","6' 4""","75""","79""",Orthodox,Orthodox
Jim Miller vs Mac Danzig,Jim Miller,Mac Danzig,Jim Miller,UFC 100,Steve Mazzagatti,Decision - Unanimous,07.11.2009,Mandalay Bay Events Center,no,Preliminary Card,13,18,2,6,0,1,25.0,29.0,United States,,,,0,0,37 of 91,20 of 57,40%,35%,98 of 157,116 of 157,6 of 7,0 of 0,85%,,1,1,3,5:00,"5' 8""","5' 8""","71""","70""",Southpaw,Orthodox
Jon Jones vs Jake OBrien,Jon Jones,Jake OBrien,Jon Jones,UFC 100,Yves Lavigne,Submission,07.11.2009,Mandalay Bay Events Center,no,Preliminary Card,11,8,2,0,0,0,24.0,21.0,United States,United States,,,0,0,25 of 87,11 of 68,28%,16%,25 of 87,11 of 68,0 of 0,0 of 4,,0%,1,0,2,2:43,"6' 4""","6' 3""","84""","76""",Orthodox,Orthodox
Dong Hyun Kim vs TJ Grant,Dong Hyun Kim,TJ Grant,Dong Hyun Kim,UFC 100,Mario Yamasaki,Decision - Unanimous,07.11.2009,Mandalay Bay Events Center,no,Preliminary Card,11,14,0,2,1,0,27.0,25.0,South Korea,,,,0,0,29 of 59,22 of 44,49%,50%,82 of 117,33 of 57,4 of 5,1 of 5,80%,20%,1,0,3,5:00,"6' 2""","5' 10""","76""","72""",Southpaw,Orthodox
Tom Lawlor vs CB Dollaway,Tom Lawlor,CB Dollaway,Tom Lawlor,UFC 100,Yves Lavigne,Submission,07.11.2009,Mandalay Bay Events Center,no,Preliminary Card,5,8,1,1,0,0,26.0,25.0,United States,,,,0,0,0 of 1,1 of 5,0%,20%,0 of 1,4 of 8,0 of 0,0 of 0,,,1,0,1,0:55,"6' 0""","6' 2""","74""","76""",Southpaw,Orthodox
Shannon Gugerty vs Matt Grice,Shannon Gugerty,Matt Grice,Shannon Gugerty,UFC 100,Herb Dean,Submission,07.11.2009,Mandalay Bay Events Center,no,Preliminary Card,11,10,3,2,0,0,27.0,27.0,United States,,,,0,0,1 of 10,4 of 8,10%,50%,7 of 20,7 of 11,1 of 1,0 of 0,100%,,2,0,1,2:36,"5' 10""","5' 8""","71""","70""",Orthodox,Orthodox
Diego Sanchez vs Clay Guida,Diego Sanchez,Clay Guida,Diego Sanchez,The Ultimate Fighter: United States vs. United Kingdom Finale,Josh Rosenthal,Decision - Split,06.20.2009,The Pearl at the Palms,no,Main Event,20,25,2,9,0,0,27.0,27.0,United States,,,,1,0,68 of 144,29 of 96,47%,30%,80 of 156,57 of 130,1 of 2,2 of 7,50%,28%,3,0,3,5:00,"5' 10""","5' 7""","72""","70""",Southpaw,Orthodox
James Wilks vs DaMarques Johnson,James Wilks,DaMarques Johnson,James Wilks,The Ultimate Fighter: United States vs. United Kingdom Finale,Steve Mazzagatti,Submission,06.20.2009,The Pearl at the Palms,yes,Co-Main Event,12,5,6,2,0,0,26.0,31.0,,United Kingdom,,,0,0,17 of 29,13 of 21,58%,61%,33 of 47,26 of 35,2 of 2,0 of 0,100%,,8,0,1,4:54,"6' 1""","6' 1""","75""","75""",Orthodox,Orthodox
